2 B-time
气 O
管 O
道 O
有 O
关 O
手 O
续 O
， O
督 O
导 O
水 O
利 O
、 O
住 O
房 O
城 O
乡 O
建 O
设 O
、 O
农 O
业 O
农 O
村 O
、 O
交 O
通 O
、 O
电 O
力 O
等 O
部 O
门 O
将 O
新 O
增 O
涉 O
气 O
施 O
工 O
项 O
目 O
及 O
时 O
纳 O
入 O
台 O
账 O
管 O
理 O
并 O
向 O
燃 O
气 O
主 O
管 O
部 O
门 O
移 O
交 O
， O
确 O
保 O
涉 O
气 O
施 O
工 O
项 O
目 O
全 O
部 O
纳 O
入 O
台 O
账 O
动 O
态 O
管 O
理 O
对 O
已 O
建 O
成 O
的 O
农 O
村 O
路 O
网 O
、 O
自 O
来 O
水 O
管 O
网 O
、 O
电 O
力 O
设 O
施 O
等 O
进 O
行 O
维 O
修 O
抢 O
修 O
时 O
， O
责 O
任 O
单 O
位 O
要 O
监 O
督 O
施 O
工 O
单 O
位 O
按 O
照 O
新 O
建 O
涉 O
气 O
施 O
工 O
项 O
目 O
安 O
全 O
要 O
求 O
， O
会 O
同 O
燃 O
气 O
企 O
业 O
进 O
一 O
步 O
细 O
化 O
安 O
全 O
施 O
工 O
方 O
案 O
， O
燃 O
气 O
企 O
业 O
要 O
主 O
动 O
派 O
人 O
到 O
场 O
指 O
导 O
监 O
督 O
施 O
工 O
全 O
过 O
程 O
严 O
格 O
依 O
法 O
处 O
罚 O
， O
提 O
升 O
威 O
慑 O
力 O
对 O
第 O
三 O
方 O
施 O
工 O
破 O
坏 O
燃 O
气 O
管 O
道 O
事 O
故 O
的 O
施 O
工 O
企 O
业 O
， O
通 O
过 O
公 O
示 O
曝 O
光 O
、 O
约 O
谈 O
、 O
列 O
为 O
重 O
点 O
审 O
查 O
和 O
重 O
点 O
监 O
管 O
对 O
象 O
、 O
严 O
格 O
资 O
金 O
监 O
管 O
、 O
记 O
分 O
管 O
理 O
、 O
信 O
用 O
管 O
理 O
等 O
措 O
施 O
进 O
行 O
惩 O
戒 O
， O
对 O
列 O
入 O
严 O
重 O
失 O
信 O
名 O
单 O
的 O
企 O
业 O
依 O
法 O
限 O
制 O
其 O
招 O
投 O
标 O
、 O
享 O
受 O
相 O
关 O
优 O
惠 O
政 O
策 O
对 O
履 O
职 O
尽 O
责 O
不 O
力 O
， O
失 O
职 O
失 O
查 O
造 O
成 O
事 O
故 O
的 O
单 O
位 O
和 O
个 O
人 O
要 O
严 O
肃 O
追 O
责 O
问 O
责 O
